emp_id,dept,job_grade,fte,month,gross,bonus,overtime,taxes,deductions,net,hours_worked,location,currency
E100000,Finance,Middle,0.7348291665080797,2024-09,1273.4,349.86,0.0,324.65,23.91,1274.7,100.0,Warehouse,USD
E100000,Finance,Middle,0.7348291665080797,2024-10,1225.6,252.76,0.0,295.67,31.29,1151.4,119.6,Warehouse,USD
E100000,Finance,Middle,0.7348291665080797,2024-11,1258.66,193.72,0.0,290.48,40.5,1121.4,124.9,Warehouse,USD
E100000,Finance,Middle,0.7348291665080797,2024-12,1311.06,190.26,0.0,300.26,38.09,1162.97,115.1,Warehouse,USD
E100000,Finance,Middle,0.7348291665080797,2025-01,1180.43,282.68,0.0,292.62,26.16,1144.33,124.0,Warehouse,USD
E100000,Finance,Middle,0.7348291665080797,2025-02,1175.71,92.82,0.0,253.71,23.64,991.18,129.1,Warehouse,USD
E100000,Finance,Middle,0.7348291665080797,2025-03,1273.75,0.25,0.0,254.8,22.73,996.47,131.8,Warehouse,USD
E100000,Finance,Middle,0.7348291665080797,2025-04,1195.43,188.93,0.0,276.87,21.35,1086.14,103.2,Warehouse,USD
E100001,Logistics,Senior,0.8621990723152133,2024-09,1732.64,290.68,80.57,420.78,28.22,1654.89,146.6,HQ,USD
E100001,Logistics,Senior,0.8621990723152133,2024-10,1756.76,352.02,135.46,448.85,39.43,1755.96,139.1,HQ,USD
E100001,Logistics,Senior,0.8621990723152133,2024-11,1888.28,364.81,12.71,453.16,7.14,1805.5,142.9,HQ,USD
E100001,Logistics,Senior,0.8621990723152133,2024-12,1966.65,302.11,138.43,481.44,33.03,1892.72,144.3,HQ,USD
E100001,Logistics,Senior,0.8621990723152133,2025-01,1915.56,164.55,65.91,429.2,77.02,1639.8,124.1,HQ,USD
E100001,Logistics,Senior,0.8621990723152133,2025-02,1891.93,4.66,84.36,396.19,29.63,1555.13,121.3,HQ,USD
E100001,Logistics,Senior,0.8621990723152133,2025-03,1920.81,179.4,0.0,420.04,54.54,1625.63,149.4,HQ,USD
E100001,Logistics,Senior,0.8621990723152133,2025-04,1934.37,280.73,101.17,463.25,64.38,1788.64,151.4,HQ,USD
E100001,Logistics,Senior,0.8621990723152133,2025-05,1963.77,106.22,117.96,437.59,47.91,1702.45,123.5,HQ,USD
E100001,Logistics,Senior,0.8621990723152133,2025-06,1789.89,499.58,146.77,487.25,62.17,1886.82,139.4,HQ,USD
E100001,Logistics,Senior,0.8621990723152133,2025-07,1882.23,276.1,17.33,435.13,19.5,1721.03,148.1,HQ,USD
E100001,Logistics,Senior,0.8621990723152133,2025-08,1934.34,97.92,190.34,444.52,37.0,1741.08,140.7,HQ,USD
E100002,Finance,Senior,0.8189381320019605,2024-09,2333.74,442.49,0.0,555.25,48.61,2172.37,142.3,Plant,USD
E100002,Finance,Senior,0.8189381320019605,2024-10,2312.93,378.61,0.0,538.31,26.99,2126.24,148.3,Plant,USD
E100002,Finance,Senior,0.8189381320019605,2024-11,2190.16,372.13,0.0,512.46,8.58,2041.25,124.4,Plant,USD
E100002,Finance,Senior,0.8189381320019605,2024-12,2354.51,329.83,0.0,536.87,2.03,2145.44,139.3,Plant,USD
E100002,Finance,Senior,0.8189381320019605,2025-01,2127.12,465.4,0.0,518.5,40.67,2033.35,132.7,Plant,USD
E100002,Finance,Senior,0.8189381320019605,2025-02,2133.67,121.99,0.0,451.13,21.49,1783.04,129.5,Plant,USD
E100002,Finance,Senior,0.8189381320019605,2025-03,2076.63,55.73,0.0,426.47,6.89,1699.0,137.6,Plant,USD
E100002,Finance,Senior,0.8189381320019605,2025-04,2198.95,203.5,0.0,480.49,3.15,1918.81,125.6,Plant,USD
E100002,Finance,Senior,0.8189381320019605,2025-05,2216.37,410.31,0.0,525.34,27.23,2074.11,144.3,Plant,USD
E100002,Finance,Senior,0.8189381320019605,2025-06,2164.61,156.25,0.0,464.17,76.57,1780.12,132.7,Plant,USD
E100002,Finance,Senior,0.8189381320019605,2025-07,2242.86,244.79,0.0,497.53,75.2,1914.92,142.8,Plant,USD
E100002,Finance,Senior,0.8189381320019605,2025-08,2271.63,265.85,0.0,507.5,47.48,1982.5,123.1,Plant,USD
E100003,HR,Middle,0.7750216222048393,2024-09,983.55,118.39,0.0,220.39,30.89,850.66,133.7,Plant,USD
E100003,HR,Middle,0.7750216222048393,2024-10,932.41,97.92,0.0,206.07,24.84,799.42,119.3,Plant,USD
E100003,HR,Middle,0.7750216222048393,2024-11,1005.74,114.5,0.0,224.05,10.37,885.82,116.3,Plant,USD
E100003,HR,Middle,0.7750216222048393,2024-12,996.31,108.65,0.0,220.99,36.27,847.7,119.9,Plant,USD
E100003,HR,Middle,0.7750216222048393,2025-01,1021.86,293.77,0.0,263.13,9.63,1042.87,108.8,Plant,USD
E100003,HR,Middle,0.7750216222048393,2025-02,1053.76,65.46,0.0,223.84,20.86,874.52,119.3,Plant,USD
E100003,HR,Middle,0.7750216222048393,2025-03,929.48,49.69,0.0,195.83,16.92,766.42,127.6,Plant,USD
E100003,HR,Middle,0.7750216222048393,2025-04,979.74,69.56,0.0,209.86,16.19,823.25,112.6,Plant,USD
E100003,HR,Middle,0.7750216222048393,2025-05,1042.64,133.79,0.0,235.29,16.69,924.45,121.8,Plant,USD
E100003,HR,Middle,0.7750216222048393,2025-06,928.1,68.77,0.0,199.37,24.98,772.52,135.5,Plant,USD
E100003,HR,Middle,0.7750216222048393,2025-07,967.55,148.97,0.0,223.3,17.03,876.19,126.9,Plant,USD
E100003,HR,Middle,0.7750216222048393,2025-08,1031.22,160.46,0.0,238.34,2.34,951.0,127.6,Plant,USD
E100004,Production,Middle,0.8804641025701897,2024-09,1203.37,125.74,120.07,289.84,15.76,1143.58,129.0,Warehouse,USD
E100004,Production,Middle,0.8804641025701897,2024-10,1205.53,0.0,45.82,250.27,39.62,961.46,125.6,Warehouse,USD
E100004,Production,Middle,0.8804641025701897,2024-11,1325.85,63.32,62.09,290.25,21.67,1139.34,152.1,Warehouse,USD
E100004,Production,Middle,0.8804641025701897,2024-12,1300.15,201.09,74.47,315.14,31.12,1229.45,134.0,Warehouse,USD
E100004,Production,Middle,0.8804641025701897,2025-01,1189.6,50.15,109.17,269.78,37.9,1041.24,142.6,Warehouse,USD
E100004,Production,Middle,0.8804641025701897,2025-02,1295.89,191.82,0.0,297.54,29.83,1160.34,140.0,Warehouse,USD
E100004,Production,Middle,0.8804641025701897,2025-03,1335.1,226.24,61.76,324.62,11.48,1287.0,139.7,Warehouse,USD
E100004,Production,Middle,0.8804641025701897,2025-04,1266.06,162.11,73.55,300.34,38.48,1162.9,132.2,Warehouse,USD
